acto;nome;tipo;ambito_geografico;primeiro_ano;ultimo_ano;n_publicacoes;n_organizacoes;codigos_organizacoes
6333;CONTRATO COLECTIVO ENTRE A CAP - CONFEDERAÇÃO DOS AGRICULTORES DE PORTUGAL E O SETAA - SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS - ALTERAÇAO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Continente;2011;2015;5;2;1.103.2 8.3.0
6334;ACORDO DE EMPRESA ENTRE  PROMETRO, S.A. E O SINDICATO INDEPENDENTE NACIONAL DOS FERROVIÁRIOS;Acordo de empresa;Distrital;2011;2017;4;1;1.478.2
6335;ACORDO DE EMPRESA ENTRE A PROMETRO, SA E O SINDICATO NACIONAL DOS TRABALHADORES DO SECTOR FERROVIÁRIO.;Acordo de empresa;Distrital;2011;2017;4;1;1.525.0
6336;ACORDO DE EMPRESA ENTRE A PROMETRO, SA E O SINDICATO DOS TRABALHADORES DOS TRANSPORTES DA ÁREA METROPOLITANA DO PORTO;Acordo de empresa;Distrital;2011;2017;3;1;1.298.1
6337;ACORDO DE EMPRESA ENTRE A ALTRIFLORESTAL, SA, E A FETESE - FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS - REVISÃO GLOBAL;Acordo de empresa;Nacional;2011;2011;1;1;2.26.3
6338;ACORDO DE EMPRESA ENTRE A ASSOCIAÇÃO HUMANITÁRIA DOS BOMBEIROS DE CARNAXIDE E O SINDICATO NACIONAL DOS BOMBEIROS PROFISSIONAIS;Acordo de empresa;Nacional;2011;2021;3;1;1.486.0
6339;ACORDO DE EMPRESA ENTRE A CAIMA INDÚSTRIA DE CELULOSE, SA E A FETESE - FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS - REVISÃO GLOBAL;Acordo de empresa;Nacional;2011;2011;1;1;2.26.3
6340;ACORDO DE EMPRESA ENTRE A TABAQUEIRA - EMPRESA INDUSTRIAL DE TABACOS, SA E A FESAHT - FEDERAÇÃO DOS SINDICATOS DA AGRICULTURA, ALIMENTAÇÃO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL E OUTROS - REVISÃO GLOBAL;Acordo de empresa;Nacional;2011;2013;13;8;1.143.1 1.144.1 1.360.2 1.5.5 2.26.3 2.40.1 2.47.0 4.5.0
6341;ACORDO DE EMPRESA ENTRE A TABAQUEIRA II, SA E A FESAHT - FEDERAÇÃO DOS SINDICATOS DA AGRICULTURA, ALIMENTAÇÃO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL E OUTROS - ALTERAÇÃO.;Acordo de empresa;Nacional;2011;2013;13;7;1.360.2 1.5.5 2.26.3 2.40.1 2.47.0 2.6.4 4.5.0
6342;CONTRATO COLECTIVO ENTRE A ASSOCIAÇÃO DE AGRICULTORES DO DISTRITO DE PORTALEGRE E O SETAA - SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS - REVISÃO GLOBAL;Contrato coletivo de trabalho;Distrital;2011;2014;6;2;1.103.2 5.435.0
6343;ACORDO DE EMPRESA ENTRE A GESTIPONTE - OPERAÇÃO E MANUTENÇÃO DAS TRAVESSIAS DO TEJO, SA E O SETACCOP - SINDICATO DA CONSTRUÇÃO, OBRAS PÚBLICAS E SERVIÇOS AFINS - REVISÃO GLOBAL;Acordo de empresa;Nacional;2011;2011;1;1;1.286.2
6344;ACORDO DE EMPRESA ENTRE A ASSOCIAÇÃO HUMANITÁRIA DOS BOMBEIROS VOLUNTÁRIOS DE PORTO DE MÓS E O SINDICATO NACIONAL DOS BOMBEIROS PROFISSIONAIS;Acordo de empresa;Nacional;2011;2011;1;1;1.486.0
6345;CONTRATO COLECTIVO ENTRE A APHORT - ASSOCIAÇÃO PORTUGUESA DE HOTELARIA, RESTAURAÇÃO E TURISMO E A FESAHT - FEDERAÇÃO DOS SINDICATOS DA AGRICULTURA, ALIMENTAÇÃO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2011;2011;2;2;2.40.1 5.578.1
6346;ACORDO DE EMPRESA ENTRE A ASSOCIAÇÃO HUMANITÁRIA DOS BOMBEIROS VOLUNTÁRIOS DO ENTRONCAMENTO E O SNBP - SINDICATO NACIONAL DOS BOMBEIROS PROFISSIONAIS;Acordo de empresa;Nacional;2011;2011;1;1;1.486.0
6347;ACORDO DE EMPRESA ENTRE A ASSOCIAÇÃO HUMANITÁRIA DOS BOMBEIROS VOLUNTÁRIOS DE ORTIGOSA E O SNBP - SINDICATO NACIONAL DOS BOMBEIROS PROFISSIONAIS;Acordo de empresa;Nacional;2011;2011;1;1;1.486.0
6348;ACORDO DE EMPRESA ENTRE O CENTRO DE FORMAÇÃO PROFISSIONAL DA INDÚSTRIA DO CALÇADO - CFPIC E O SINDICATO DOS TRABALHADORES EM FUNÇÕES PÚBLICAS E SOCIAIS DO CENTRO -STFPSC E OUTROS.;Acordo de empresa;Nacional;2011;2012;6;4;1.313.1 1.313.2 1.324.2 2.25.1
6349;CONTRATO COLECTIVO ENTRE A APHORT - ASSOCIAÇÃO PORTUGUESA DE  HOTELARIA, RESTAURAÇÃO E TURISMO E A FETESE - FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS  - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2011;2011;2;2;2.26.3 5.578.1
6350;ACORDO DE EMPRESA ENTRE A EUROSCUT - SOCIEDADE CONCESSIONÁRIA DA SCUT DO ALGARVE, SA E O SETACCOP - SINDICATO DA CONSTRUÇÃO, OBRAS PÚBLICAS E SERVIÇOS AFINS.;Acordo de empresa;Nacional;2011;2016;6;2;1.286.2 1.286.3
6351;CONTRATO COLECTIVO ENTRE A AHRESP - ASSOCIAÇÃO DA HOTELARIA, RESTAURAÇÃO E SIMILARES DE PORTUGAL E A FETESE - FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS;Contrato coletivo de trabalho;Nacional;2011;2011;2;2;2.26.3 5.508.1
6352;ACORDO COLECTIVO ENTRE A PT COMUNICAÇÕES, SA E OUTRAS E O SINDETELCO - SINDICATO DEMOCRÁTICO DOS TRABALHADORES DAS COMUNICAÇÕES E DOS MÉDIA E OUTROS - REVISÃO GLOBAL;Acordo coletivo de trabalho;Nacional;2011;2011;9;9;1.119.1 1.218.5 1.236.1 1.248.4 1.296.3 1.385.2 1.433.1 1.451.0 1.504.0
6353;CONTRATO COLETIVO ENTRE A APS - ASSOCIAÇÃO PORTUGUESA DE SEGURADORES E O STAS - SINDICATO DOS TRABALHADORES DA ATIVIDADE SEGURADORA E OUTRO - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2012;2014;6;3;1.454.0 1.85.3 5.448.0
6354;CONTRATO COLECTIVO ENTRE A AHRESP - ASSOCIAÇÃO DA HOTELARIA, RESTAURAÇÃO E SIMILARES DE PORTUGAL E A FESAHT - FEDERAÇÃO DOS SINDICATOS DA ALIMENTAÇÃO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2012;2023;14;3;2.40.1 2.58.0 5.508.1
6355;ACORDO DE EMPRESA ENTRE  A ASSOCIAÇÃO HUMANITÁRIA DE BOMBEIROS VOLUNTÁRIOS DA AMADORA E O SNBP - SINDICATO NACIONAL DOS BOMBEIROS PROFISSIONAIS;Acordo de empresa;Nacional;2012;2015;3;1;1.486.0
