acto;nome;tipo;ambito_geografico;primeiro_ano;ultimo_ano;n_publicacoes;n_organizacoes;codigos_organizacoes
312;CCT ANILT-AS  NAC  IND  LAVANDARIAS E TINT / SITESC-SIND. TRAB. ESCRITÓRIO SERVIÇOS E  COMÉRCIO;Contrato coletivo de trabalho;Nacional;1998;2003;61;17;1.133.1 1.152.1 1.248.3 1.31.1 1.31.2 2.10.3 2.15.2 2.20.2 2.21.1 2.23.2 2.26.1 2.33.0 2.39.0 2.4.1 2.40.0 2.6.4 5.69.0
317;CCT PARA O SECTOR TÊXTIL;Contrato coletivo de trabalho;Nacional;1980;1998;181;66;1.118.0 1.123.0 1.130.0 1.131.0 1.132.0 1.143.0 1.143.1 1.144.1 1.145.1 1.152.0 1.152.1 1.157.0 1.157.1 1.157.2 1.180.1 1.225.0 1.225.1 1.233.0 1.233.1 1.237.1 1.241.0 1.248.1 1.248.2 1.248.3 1.250.0 1.271.0 1.284.0 1.296.0 1.299.0 1.318.0 1.5.1 1.5.3 1.502.0 1.81.0 1.96.0 2.10.1 2.10.2 2.10.3 2.15.1 2.15.2 2.20.0 2.20.1 2.20.2 2.21.0 2.21.1 2.23.0 2.23.1 2.23.2 2.3.1 2.3.2 2.33.0 2.4.1 2.6.2 2.6.3 2.6.4 5.102.0 5.102.1 5.103.0 5.161.0 5.161.1 5.183.0 5.29.0 5.324.0 5.324.1 5.362.1 5.58.0
327;ACT OLARIAS DE BARRO VERMELHO E GRÉS DECORATIVO- ALTERAÇÃO SALARIAL E OUTRA E TEXTO CONSOLIDADO;Acordo coletivo de trabalho;Pluridistrital;2004;2007;8;3;2.12.2 2.15.2 2.46.0
328;CCT ANF-ASSOC. NAC. DAS FARMÁCIAS E O SINPROFARM - SINDICATO NACIONAL  DOS PROFISSIONAIS DE FARMÁCIA EE OUTROS - ALTERAÇÃO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Nacional;2000;2008;23;8;1.133.1 1.133.2 1.229.1 1.84.1 1.84.2 2.26.1 5.100.0 5.100.1
338;CCT CELEBRADO ENTRE A ASSOCIAÇÃO PORTUGUESA DOS COMERCIANTES DE MATERIAIS DE CONSTRUÇÃO E O SITESC-SINDICATO DOS TRABALHADORES DE ESCRITÓRIO, SERVIÇOS E COMÉRCIO E OUTROS-ALTERAÇÃO SALARIAL E OUTRA.;Contrato coletivo de trabalho;Nacional;2000;2003;50;10;1.104.2 1.133.1 1.143.1 1.157.2 1.222.2 1.84.1 2.15.2 2.6.4 5.80.1 5.99.1
4100;CCT ENTRE A ASSOCIAÇÃO DOS BARBEIROS E CABELEIREIROS DO DISTRITO DE BRAGA E O SINDPAB - SINDICATO DOS PROFISSIONAIS DE PENTEADO, ARTE E BELEZA - ALTERAÇÃO SALARIAL;Contrato coletivo de trabalho;Distrital;2003;2003;2;2;1.263.1 5.216.0
4337;CCT ANIL - ASSOCIAÇÃO NACIONAL DOS INDUSTRIAIS DE LACTICÍNIOS E VÁRIAS COOPERATIVAS DE PRODUTORES DE LEITE/FETESE-FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS;Contrato coletivo de trabalho;Nacional;2001;2002;8;5;1.133.1 1.84.1 2.26.1 2.6.4 5.44.2
4370;CCT ASSOC. DOS IND. DE BOLACHAS E AFINS E OUTRAS / FETESE - FEDER. DOS SIND. DOS TRAB. DE ESCRITÓRIO E SERVIÇOS E OUTROS (DIST. DO PORTO E AVEIRO);Contrato coletivo de trabalho;Pluridistrital;1976;1992;118;22;1.125.0 1.133.0 1.133.1 1.207.1 1.222.2 1.241.0 1.281.2 2.2.1 2.26.0 2.29.2 2.6.3 2.6.4 5.106.0 5.11.0 5.12.0 5.30.0 5.329.0 5.484.0 5.485.0 5.65.0 5.9.0 6.6.0
4432;ASS. PORTUG. GROSSISTAS TÊXTEIS / FEPCES OUTROS;Contrato coletivo de trabalho;Nacional;1977;2005;246;49;1.108.0 1.123.0 1.130.0 1.131.0 1.131.1 1.132.0 1.133.0 1.133.1 1.133.2 1.152.0 1.204.1 1.210.0 1.218.0 1.222.1 1.222.2 1.235.0 1.241.0 1.248.0 1.248.1 1.248.2 1.248.3 1.248.4 1.271.0 1.281.2 1.284.0 1.49.0 1.548.0 1.548.1 1.66.0 1.84.0 1.84.1 1.84.2 1.87.1 2.15.0 2.15.1 2.15.2 2.2.0 2.2.1 2.26.0 2.26.1 2.4.0 2.4.1 2.6.0 2.6.2 2.6.3 2.6.4 5.102.2 5.67.0 5.67.1
4441;CCT ASSOC. DOS IND. DE MOAGEM DO SUL, ASSOC. DOS IND. DE MOAGEM DO CENTRO, ASSOC. NACIONAL DOS IND. ARROZ, ASSOC. PORT. DOS IND. DE ALIMENT. COMP. PARA ANIMAIS, ASSOC. DOS IND. MASSAS ALIMENTÍCIAS, BOL., E CHOCOLATES / SIND. DOS TRAB. DAS IND. QUÍMICAS DO CENTRO, SUL E ILHAS E MOAGEM DO CENTRO SUL;Contrato coletivo de trabalho;Pluridistrital;1977;2003;259;24;1.30.0 1.30.1 1.355.1 1.359.0 1.360.0 2.22.1 2.29.0 2.29.1 2.29.2 2.29.3 2.29.4 2.32.0 2.40.0 5.11.0 5.262.0 5.263.0 5.329.0 5.446.0 5.446.1 5.484.0 5.485.0 5.65.0 5.9.0 6.6.0
4458;CCT ENTRE A ANAP - ASSOCIAÇÃO NACIONAL DOS ARMAZENISTAS DE PAPEL E A FEPCES- FEDERAÇÃO PORTUGUESA DOS SINDICATOS DO COMÉRCIO, ESCRITÓRIOS E SERVIÇOS E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS.;Contrato coletivo de trabalho;Nacional;2000;2006;54;13;1.133.1 1.133.2 1.248.3 1.248.4 1.548.0 1.548.1 1.84.1 1.84.2 2.15.2 2.26.1 2.32.0 2.6.4 5.137.0
4464;CCT ASSOC. LIVRE DOS IND. PELO FRIO/SIND. REPRESENTATIVOS DE TRABALHADORES AO SERVIÇO DE EMPRESAS QUE SE DEDICAM À IND. DE CONSERVAS DE PEIXE E OUTROS PRODUTOS ALIMENTARES PELO FRIO;Contrato coletivo de trabalho;Nacional;1977;2003;236;60;1.108.0 1.123.0 1.130.0 1.131.0 1.131.1 1.132.0 1.133.0 1.133.1 1.14.0 1.144.0 1.145.0 1.152.0 1.197.0 1.204.1 1.206.1 1.210.0 1.218.0 1.222.1 1.235.0 1.237.0 1.241.0 1.248.0 1.248.1 1.25.0 1.271.0 1.281.2 1.284.0 1.299.0 1.31.0 1.31.1 1.41.0 1.49.0 1.5.0 1.548.1 1.66.0 1.84.0 1.84.1 1.87.0 2.15.0 2.15.1 2.15.2 2.2.0 2.2.1 2.21.0 2.26.0 2.26.1 2.27.0 2.29.0 2.29.1 2.29.2 2.32.0 2.4.0 2.4.1 2.6.0 2.6.1 2.6.2 2.6.3 2.6.4 5.241.0 5.241.1
4466;CCT - ENTRE A ASSOC. COMERCIAL E INDUSTRIAL DE COIMBRA E O SIND. DOS TRABALHADORES DE ESCRITÓRIO E COMÉRCIO DO DISTRITO DE COIMBRA;Contrato coletivo de trabalho;Distrital;1977;1998;83;6;1.195.0 1.391.0 1.58.0 2.26.0 5.188.0 5.66.0
4471;CCT ASSOC. DOS IND. DE MOAGEM DO NORTE E CENTRO E OUTRAS / SIND. LIVRE DOS TRAB. DE PANIFICAÇÃO, MOAGENS E SIMILARES DO DIST. DO PORTO;Contrato coletivo de trabalho;Pluridistrital;1977;2004;212;17;1.112.0 1.112.1 2.29.0 2.29.1 2.29.2 2.29.3 2.29.4 2.32.0 2.40.0 5.11.0 5.30.0 5.329.0 5.446.0 5.446.1 5.65.0 5.9.0 6.6.0
4479;CCT-ENTRE A ASSOC. DOS IND. DE VIDRO EMBALAGEM E OUTROS E A FEDER. NACIONAL DOS SIND. DOS TRABALHADORES DAS IND. CERÂMICA, CIMENTO, VIDRO E OUTROS-ALT.SALARIAL;Contrato coletivo de trabalho;Nacional;1977;2008;211;40;1.104.0 1.104.1 1.116.0 1.13.0 1.132.0 1.152.0 1.195.0 1.237.0 1.237.1 1.30.0 1.31.0 1.5.0 1.5.1 1.82.0 1.87.0 1.87.1 1.96.0 2.10.1 2.10.2 2.10.3 2.12.1 2.12.2 2.15.0 2.15.1 2.15.2 2.21.0 2.23.0 2.4.0 2.4.1 2.46.0 2.50.0 2.6.0 2.6.1 2.6.2 2.6.3 5.142.1 5.25.0 5.261.0 5.261.1 5.286.0
4481;CCT ASSOC. NAC. DOS IND. DE MOAGEM DE RAMAS E ESPOADAS DE MILHO E CENTEIO E DOS TORREFACTORES / SIND. LIVRE DOS TRAB. DE PANIFICAÇÃO, MOAGENS, MASSAS E SIMILARES DO DIST DO PORTO E O SIND. DOS TRAB. DA IND. DE PANIFICAÇÃO E PRODUTOS ALIMENTARES AFINS DO DIST. LISBOA;Contrato coletivo de trabalho;Continente;1977;2003;101;16;1.102.0 1.112.0 1.112.1 1.31.1 1.31.2 1.359.0 2.29.0 2.29.1 2.29.2 2.29.3 2.29.4 2.40.0 5.106.0 5.106.1 5.62.0 5.62.1
4484;CCT -VERTICAL PARA OS FABRICANTES DE MATERIAL ELÉCTRICO E ELECTRÓNICO (TEXTO ACORDADO EM FASE DE NEGOCIAÇÕES DIRECTAS E DE CONCILIAÇÃO);Contrato coletivo de trabalho;Nacional;1977;1999;338;98;1.116.0 1.118.0 1.119.0 1.119.1 1.121.0 1.127.0 1.131.0 1.133.0 1.133.1 1.136.0 1.143.0 1.143.1 1.144.0 1.144.1 1.145.1 1.15.0 1.15.1 1.152.0 1.157.0 1.157.1 1.157.2 1.180.0 1.180.1 1.181.0 1.185.0 1.20.0 1.203.0 1.210.0 1.211.0 1.213.0 1.213.1 1.221.0 1.222.1 1.222.2 1.223.0 1.225.0 1.225.1 1.229.0 1.233.0 1.233.1 1.234.0 1.235.0 1.237.0 1.237.1 1.241.0 1.242.0 1.248.0 1.248.1 1.248.2 1.248.3 1.28.1 1.281.2 1.296.0 1.30.0 1.31.0 1.31.1 1.345.0 1.346.0 1.5.0 1.5.1 1.502.0 1.84.0 1.84.1 1.87.0 1.87.1 2.10.0 2.10.1 2.10.2 2.10.3 2.12.1 2.12.2 2.14.0 2.15.0 2.15.1 2.15.2 2.17.0 2.19.0 2.2.0 2.2.1 2.21.0 2.21.1 2.22.0 2.22.1 2.22.2 2.23.0 2.23.1 2.23.2 2.26.0 2.27.0 2.3.2 2.39.0 2.4.0 2.4.1 2.6.0 2.6.2 2.6.3 2.6.4 5.68.0
4485;CCT ENTRE A ARCDP - ASSOCIAÇÃO DOS RETALHISTAS DE CARNE DO DISTRITO DO PORTO E OUTRAS E O SIND. DO NORTE DOS TRAB. EM CARNES - ALTERAÇÃO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Pluridistrital;2000;2003;44;16;1.282.0 1.282.1 5.162.1 5.164.0 5.166.2 5.169.1 5.173.1 5.245.0 5.246.0 5.249.0 5.341.2 5.427.0 5.432.0 5.481.1 5.75.0 5.75.1
4494;CCT - ENTRE A ASSOC. COMERCIAL DA GUARDA E OUTRAS E O SIND. DOS PROFISSIONAIS DE ESCRITÓRIO E COMÉRCIO DO DISTRITO DA GUARDA;Contrato coletivo de trabalho;Distrital;1977;2011;96;8;1.278.0 1.518.0 5.120.0 5.32.0 5.32.1 5.494.0 5.494.2 5.497.2
4497;CCT ENTRE A ASSOCIAÇÃO PORTUGUESA DE BARBEARIAS, CABELEIREIROS E INSTITUTOS DE BELEZA E O SINDICATO DOS PROFISSIONAIS DO PENTEADO, ARTE E BELEZA - SINDPAB - ALTERAÇÃO SALARIAL;Contrato coletivo de trabalho;Nacional;2001;2003;6;2;1.263.1 5.125.1
4498;CCT ENTRE A APEQ-ASSOCIAÇÃO PORTUGUESA DAS EMPRESAS QUÍMICAS E OUTRAS E A FETESE-FED. DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS-ALTERAÇÃO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Nacional;2000;2003;114;34;1.129.1 1.131.2 1.131.3 1.131.4 1.133.1 1.143.1 1.157.2 1.166.1 1.193.1 1.222.2 1.384.1 1.502.0 1.84.1 1.84.2 2.15.2 2.21.1 2.23.2 2.26.1 2.32.0 2.39.0 2.40.0 2.6.4 5.105.0 5.154.1 5.24.0 5.38.2 5.39.1 5.40.1 5.426.0 5.461.0 5.71.0 5.72.0 5.85.0 5.86.1
4512;CCT ENTRE A ANCIPA -  ASSOC. NACIONAL DE COMERCIANTES E INDUSTRIAIS DE PRODUTOS ALIMENTARES E O SETAA - SIND. DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS (CONFEITARIA, PASTELARIA E CONSERVAÇÃO DE FRUTA - CENTRO/SUL);Contrato coletivo de trabalho;Pluridistrital;1997;2002;18;4;1.103.2 2.29.4 2.40.0 5.12.0
4514;CCT ENTRE A ASSOC. NACIONAL DOS INDUSTRIAIS DE MOAGEM DE RAMAS E ESPOADAS DE MILHO E CENTEIO E O SIND. DOS TRABALHADORES DAS IND. QUÍMICAS DO CENTRO, SUL E ILHAS ADJACENTES E MOAGENS DO CENTRO E SUL;Contrato coletivo de trabalho;Pluridistrital;1977;1992;33;9;1.30.0 1.30.1 1.359.0 1.359.1 2.29.0 2.29.1 2.29.2 2.29.3 5.106.0
4517;CCT ENTRE ASS.COMERC.PORTO E OS SIND.ENGENHEIROS TECN. E OFICIAIS MAQUINISTAS MARINHA MERCANTE;Contrato coletivo de trabalho;Concelhia;1977;2001;42;5;1.180.0 1.180.1 1.296.0 1.296.1 5.180.0
4519;CCT PARA OS TRABALHADORES DE  ESCRITÓRIO E CORRELATIVOS  SECTOR DA  INDÚSTRIA VIDREIRA;Contrato coletivo de trabalho;Continente;1977;2001;147;28;1.108.0 1.123.0 1.130.0 1.132.0 1.133.0 1.133.1 1.218.0 1.218.1 1.218.3 1.222.2 1.255.1 1.271.0 1.284.0 1.49.0 1.81.0 1.84.1 2.2.0 2.2.1 2.26.0 2.26.1 2.32.0 2.6.3 2.6.4 5.142.1 5.25.0 5.261.0 5.261.1 5.286.0
4520;CCT ASSOC. DOS IND. DE MOAGEM / SIND. DOS TRAB. DE ESCRITÓRIO DO DIST. DO PORTO;Contrato coletivo de trabalho;Distrital;1977;2004;123;15;1.133.0 1.133.1 1.222.1 1.222.2 1.241.0 2.2.0 2.2.1 2.26.0 2.26.1 2.6.3 2.6.4 5.30.0 5.329.0 5.446.0 5.446.1
4527;CCT ANIVEC - ASS. NAC. IND. VESTUÁRIO E CONFECÇÃO E A FESINTES - FED. SIND. TRAB. ESCRITÓRIO SERVIÇOS;Contrato coletivo de trabalho;Pluridistrital;1978;1999;54;8;1.133.1 1.281.2 2.2.0 2.2.1 2.26.0 2.26.1 5.58.0 5.58.1
4528;CCT ASS. NAC. IND. TEXTEIS ALGOD. FIBRAS OUTRAS/SIND. ENG. TÉC. NORTE OUTRO;Contrato coletivo de trabalho;Nacional;1978;1979;14;7;1.15.0 1.296.0 5.102.0 5.103.0 5.161.0 5.183.0 5.58.0
4534;CCT - ENTRE A ASSOC. NACIONAL DOS COMERCIANTES DE VEÍCULOS DUAS RODAS E A FEPCES - FEDER. PORTUGUESA DOS SIND. DO COMÉRCIO, ESCRITÓRIOS E OUTRO;Contrato coletivo de trabalho;Nacional;2000;2006;46;11;1.133.1 1.133.2 1.248.3 1.248.4 1.548.1 1.84.1 1.84.2 2.15.2 2.26.1 2.6.4 5.52.0
4535;CCT ENTRE A APCOR - ASSOCIAÇÃO PORTUGUESA DE CORTIÇA E O SITESC - SINDICATO DOS TRABALHADORES DE ESCRITÓRIO, SERVIÇOS E COMÉRCIO E OUTRO - ALTERAÇÃO SALARIAL E TEXTO CONSOLIDADO.;Contrato coletivo de trabalho;Nacional;2000;2025;52;10;1.133.1 1.133.2 1.133.3 1.133.4 1.222.2 1.222.3 1.222.4 2.26.3 2.26.4 5.167.3
4536;CCT ENTRE A IACA - ASSOCIAÇÃO PORTUGUESA DOS INDUSTRIAS DE ALIMENTOS COMPOSTOS PARA ANIMAIS E O SINDICATO DOS TÉCNICOS DE VENDAS DO NORTE E CENTRO E OUTRO - ALT. SALARIAL - TEXTO CONSOLIDADO;Contrato coletivo de trabalho;Nacional;1978;2005;56;5;1.548.1 1.84.0 1.84.1 1.84.2 5.65.0
4537;CCT ENTRE A ANF- ASSOCIAÇÃO NACIONAL DAS FARMÁCIAS E O SINDICATO NACIONAL DOS FARMACÊUTICOS - ALTERAÇÃO SALARIAL E OUTRAS.;Contrato coletivo de trabalho;Nacional;2000;2002;6;3;1.216.1 5.100.0 5.100.1
4549;CCT ENTRE A ASSOCIAÇÃO DOS INDUSTRIAIS DE CHAPELARIA E A FESETE-FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES TÊXTEIS, LANIFÍCIOS, VESTUÁRIO, CALÇADO E PELES DE PORTUGAL-ALTERAÇÃO SALARIAL E OUTRAS.;Contrato coletivo de trabalho;Continente;2001;2001;2;2;2.20.2 5.332.0
4557;CCT ADIPA-ASSOC. DISTRIBUIDORES DE PRODUTOS ALIMENTARES E OUTRAS E A FEPCES - FED.PORT.SIND.COMÉRCIO, ESCRITÓRIOS E SERVIÇOS  E OUTROS;Contrato coletivo de trabalho;Nacional;2000;2003;43;12;1.104.2 1.133.1 1.248.3 1.248.4 1.84.1 2.15.2 2.26.1 2.40.0 2.6.4 5.283.1 5.31.1 5.8.0
4558;CCT ENTRE A ASSOC. DOS CABELEIREIROS DE PORTUGAL E O CESNORTE - SIND. DOS TRABALHADORES DO COMERCIO, ESCRITORIOS E SERVIÇOS DO NORTE. ALTERAÇAO SALARIAL E OUTRA.;Contrato coletivo de trabalho;Pluridistrital;2000;2008;12;3;1.208.2 1.518.0 5.198.2
4559;CCT ENTRE A ASSOCIAÇÃO DOS INDUSTRIAIS DE GUARDA-SÓIS E ACESSÓRIOS E A FEPCES - FED. PORT. DOS SIND. DO COM., ESC, E SERV. E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Nacional;2000;2003;22;7;1.133.1 1.31.2 1.84.1 1.84.2 2.26.1 2.6.4 5.61.0
4562;CCT ENTRE A ANIF- ASSOCIAÇÃO NACIONAL DOS INDUSTRIAIS DE FOTOGRAFIA E A FETESE - FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS.;Contrato coletivo de trabalho;Nacional;2000;2010;38;9;1.133.1 1.133.2 1.548.0 1.548.1 1.84.1 1.84.2 2.26.1 2.26.2 5.97.0
4563;CCT ASSOC. DOS IND. DE MOAGEM DO SUL E OUTRAS / FEDER. REGIONAL DOS SIND. DOS EMPREGADOS DE ESCRITÓRIO DO SUL E ILHAS ADJACENTES;Contrato coletivo de trabalho;Nacional;1978;2003;820;101;1.103.0 1.108.0 1.118.0 1.118.1 1.123.0 1.127.0 1.130.0 1.131.0 1.132.0 1.133.1 1.143.0 1.144.0 1.144.1 1.145.0 1.15.0 1.152.0 1.157.0 1.203.0 1.204.1 1.210.0 1.218.0 1.218.1 1.221.0 1.222.2 1.225.0 1.234.0 1.235.0 1.237.0 1.237.1 1.241.0 1.248.0 1.248.1 1.271.0 1.281.2 1.284.0 1.296.0 1.296.1 1.31.0 1.49.0 1.5.0 1.502.0 1.548.0 1.66.0 1.84.0 1.84.1 1.84.2 1.87.1 2.1.0 2.10.0 2.10.1 2.10.2 2.10.3 2.14.0 2.15.0 2.15.1 2.15.2 2.17.1 2.19.0 2.2.0 2.2.1 2.21.0 2.21.1 2.22.0 2.22.1 2.22.2 2.23.0 2.23.1 2.23.2 2.26.0 2.26.1 2.29.0 2.29.1 2.29.2 2.29.3 2.29.4 2.3.1 2.3.2 2.32.0 2.39.0 2.4.0 2.4.1 2.40.0 2.6.0 2.6.1 2.6.2 2.6.3 2.6.4 5.11.0 5.12.0 5.262.0 5.263.0 5.30.0 5.329.0 5.446.0 5.446.1 5.484.0 5.485.0 5.485.1 5.65.0 5.9.0 6.6.0
4564;CCT ENTRE A ASSOCIAÇÃO EMPRESARIAL DE VIANA DO CASTELO E OUTRAS E O CESNORTE-SIND. DOS TRABALHADORES DO COMÉRCIO, ESCRITÓRIOS E SERVIÇOS DO NORTE - ALTERAÇÃO SALARIAL E OUTRAS.;Contrato coletivo de trabalho;Distrital;1978;2003;152;12;1.208.2 1.280.0 5.162.0 5.162.1 5.166.0 5.166.2 5.169.0 5.169.1 5.173.0 5.173.1 5.341.0 5.341.2
4565;CCT - ASSOC. DOS INDUSTRIAIS DE PRÓTESE E O SIND.TÉCNICOS DE PRÓTESE DENTÁRIA E OUTROS;Contrato coletivo de trabalho;Nacional;2000;2003;11;6;1.133.1 1.160.0 2.26.1 2.6.4 5.178.0 5.178.2
4569;CCT - ENTRE A  ASSOC. NACIONAL DOS INDUSTRIAIS DE PRODUTOS DE CIMENTO E A FEDER. DOS SIND. DAS IND. DE CERAMICA, CIMENTO E VIDRO DE PORTUGAL E OUTROS;Contrato coletivo de trabalho;Nacional;2000;2003;41;16;1.129.1 1.133.1 1.143.1 1.31.2 1.519.0 1.548.1 1.84.1 2.12.2 2.15.2 2.21.1 2.23.2 2.26.1 2.32.0 2.39.0 2.6.4 5.95.0
4577;CCT ENTRE A APCOR - ASSOCIAÇÃO PORTUGUESA DE CORTIÇA E OUTRA E O SINDICATO DOS TRABALHADORES DA INDÚSTRIA CORTICEIRA DO SUL E OUTROS (PESSOAL FABRIL)-ALTERAÇÃO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Nacional;2000;2003;65;20;1.143.1 1.15.1 1.171.0 1.248.3 1.248.4 1.274.0 1.296.1 1.296.2 1.31.2 1.376.0 2.15.2 2.20.2 2.21.1 2.23.2 2.32.0 2.39.0 2.40.0 2.6.4 5.133.1 5.167.3
4583;CCT  PARA A INDÚSTRIA E COMÉRCIO DE PRODUTOS  FARMACEUTICOS;Contrato coletivo de trabalho;Nacional;1978;1978;5;5;1.7.0 5.136.0 5.195.0 5.254.0 5.76.1
4590;CCT ADAPI -ASSOC. DOS ARMADORES DAS PESCAS IND./FED.SIND.SECTOR PESCA (PESCA DO ARRASTO COSTEIRO);Contrato coletivo de trabalho;Continente;2000;2000;2;2;2.30.0 5.5.0
4591;CCT GROQUIFAR - ASSOCIAÇAO DE GROSSISTAS DE PRODUTOS QUIMICOS E FARMACÊUTICOS E A FETESE - FEDERAÇAO DOS SIND. DOS TRAB. DE SERVIÇOS E OUTROS- ALTERAÇAO SALARIAL E OUTRAS.;Contrato coletivo de trabalho;Continente;2000;2026;222;31;1.103.2 1.133.1 1.133.2 1.15.2 1.15.3 1.15.4 1.218.2 1.218.5 1.221.0 1.221.1 1.248.3 1.248.4 1.360.2 1.360.3 1.5.4 1.548.1 1.84.1 1.84.2 2.15.2 2.26.1 2.26.2 2.26.3 2.32.0 2.40.0 2.47.0 2.50.0 2.6.4 4.5.0 4.9.1 4.9.2 5.136.0
4593;CCT ENTRE A ASSOCIAÇÃO DOS INDUSTRIAIS DE OURIVESARIA E RELOJOARIA DO NORTE E OUTRA E O SITESC - SIND. DOS TRAB. DE ESCRITÓRIO, SERVIÇOS E COMÉRCIO E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Nacional;2000;2005;19;7;1.133.1 1.133.2 1.143.1 2.26.1 2.6.4 5.64.0 5.73.0
4598;CCT ENTRE A ANIPC - ASSOCIAÇÃO NACIONAL DOS INDUSTRIAIS DE PAPEL E CARTÃO E O SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, PAPEL, GRÁFICA E IMPRENSA E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS.;Contrato coletivo de trabalho;Nacional;2004;2004;8;8;1.502.0 2.15.2 2.21.1 2.23.2 2.39.0 2.40.0 2.6.4 5.277.0
4600;CCT ENTRE A AIVE-ASSOCIAÇÃO DOS INDUSTRIAIS DE VIDRO DE EMBALAGEM E O SETN-SINDICATO DOS ENGENHEIROS TÉCNICOS E OUTROS-ALTERAÇÃO SALARIAL E OUTRA.;Contrato coletivo de trabalho;Nacional;2001;2001;3;3;1.296.1 4.5.0 5.142.1
4606;CCT ENTRE A ASSOC. DOS INDUSTRIAIS DE PANIFICAÇÃO DO NORTE E O SITESC - SIND. DOS TRABALHADORES DE ESCRITÓRIO, SERVIÇOS E COMÉRCIO E OUTROS;Contrato coletivo de trabalho;Pluridistrital;1978;2003;116;15;1.125.0 1.133.0 1.133.1 1.207.1 1.210.0 1.241.0 1.281.2 2.2.0 2.2.1 2.26.0 2.26.1 2.6.4 5.257.0 5.257.1 5.258.0
4607;CCT ENTRE A AIEC - ASSOCIAÇÃO DOS INDUSTRIAIS E EXPORTADORES DE CORTIÇA E A FETESE - FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS. -ALTERAÇÃO SALARIAL E OUTRAS;Contrato coletivo de trabalho;Nacional;1978;2009;33;7;1.548.0 1.548.1 1.84.1 2.26.1 2.6.4 5.133.1 5.167.1
4608;CCT ENTRE A ANAREC - ASSOCIAÇÃO NACIONAL DE REVENDEDORES DE COMBUSTÍVEIS E A FEPCES - FEDERAÇÃO PORTUGUESA DOS SINDICATOS DO COMÉRCIO, ESCRITÓRIOS E SERVIÇOS E OUTROS - ALTERAÇÃO SALARIAL E OUTRA;Contrato coletivo de trabalho;Nacional;2000;2010;41;10;1.133.1 1.133.2 1.248.3 1.248.4 2.15.2 2.21.1 2.26.1 2.50.0 2.6.4 5.293.0
4615;CCT ENTRE A ACIP - ASSOC. DO CENTRO DOS INDUSTRIAIS DE PANIFICAÇÃO E O SITESC - SIND. DOS TRABALHADORES DE ESCRITÓRIO, SERVIÇOS E COMÉRCIO;Contrato coletivo de trabalho;Pluridistrital;1978;2003;87;15;1.133.1 1.210.0 1.222.2 1.241.0 1.284.0 1.81.0 2.2.0 2.2.1 2.26.0 2.26.1 2.6.1 2.6.4 5.258.0 5.258.1 5.258.2
4616;CCT - ASSOC. DE COMERCIANTES DO DIST. DE VISEU E DO CONCELHO DE LAMEGO E O SIND. DOS TRABALHADORES DE ESCRITÓRIO E COMÉRCIO DO DISTRITO DE VISEU;Contrato coletivo de trabalho;Distrital;1978;2002;71;7;1.207.0 1.207.1 1.518.0 5.181.0 5.181.1 5.192.0 5.192.1
4618;CCT- ENTRE A ASSOC. PORTUGUESA  DOS INDUSTRIAIS DE CALÇADO, COMPONENTES ARTIGOS DE PELE E SEUS SUCEDANEOS E CURTUMES E A FEDER. DOS SIND. DOS EMPREGADOS DE ESCRITÓRIO DO NORTE E OUTROS;Contrato coletivo de trabalho;Nacional;1978;2000;153;31;1.108.0 1.123.0 1.130.0 1.132.0 1.133.1 1.218.0 1.222.0 1.222.1 1.222.2 1.271.0 1.281.2 1.284.0 1.31.0 1.31.1 1.31.2 1.49.0 1.5.0 1.5.1 1.81.0 1.84.0 1.84.1 2.2.0 2.2.1 2.26.0 2.26.1 2.32.0 2.6.2 2.6.3 2.6.4 5.172.0 5.301.0
