nome;sinal;subsetor;subsetor_nome;forma_empresarial;fonte;ano
ERT-RL - Entidade Regional de Turismo de Lisboa e Vale do Tejo;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
ESPAP - Entidade de Serviços Partilhados da Administração Pública, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Editorial do Ministério da Educação e Cência;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Enatur - Empresa Nacional de Turismo, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Entidade Regional de Turismo do Centro de Portugal;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Entidade Reguladora da Saúde;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Entidade Reguladora para a Comunicação Social;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Escola Superior Náutica Infante D. Henrique;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Escola Superior de Enfermagem da Universidade de Lisboa;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Escola Superior de Enfermagem de Coimbra;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Escola Superior de Enfermagem do Porto;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Escola Superior de Hotelaria e Turismo do Estoril;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Estamo, Participações Imobiliárias, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Extra - Explosivos da Trafaria, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
FACCE - Fundo Autónomo de Apoio à Concentração e Consolidação de Empresas;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
FCT - Fundação para a Ciência e a Tecnologia, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
FINOVA - Fundo de Apoio Ao Financiamento a Inovação;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Ferconsult - Consultoria, Estudos e Projectos de Engenharia de Transportes, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Fundo Ambiental;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo Azul;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo Imobiliário Especial de Apoio às Empresas;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo Nacional de Reabilitação do Edificado;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo Para o Serviço Público de Transportes;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo REVITA;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo Revive Natureza;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo Sanitário e de Segurança Alimentar Mais;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo da Língua Portuguesa;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Acidentes de Trabalho;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Apoio Municipal;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Apoio ao Turismo e ao Cinema;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Capital e Quase Capital;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Capitalização e Resiliência;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Coinvestimento 200M;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Compensação Salarial dos Profissionais da Pesca;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Contragarantia Mútuo;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Dívida e Garantias;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Estabilização Tributário;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Fomento Cultural;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Garantia Automóvel;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Garantia de Depósitos;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Garantia de Viagens e Turismo;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Inovação, Tecnologia e Economia Circular;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Reabilitação e Conservação Patrimonial;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Reestruturação do Setor Solidário;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Regularização da Dívida Pública;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Resolução;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo de Salvaguarda do Património Cultural;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo dos Fundos para a Internacionalização;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo para a Aquisição de Bens Culturais;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo para a Inovação Social;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo para a Modernização da Justiça;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo para a Promoção dos Direitos dos Consumidores;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Fundo para a Revitalização e Modernização do Tecido Empresarial, SGPS, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
Fundo para as Relações Internacionais, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
Gabinete do Secretário-Geral do SIRP e Estruturas Comuns ao SIED e SIS;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IAPMEI - Agência para a Competitividade e Inovação, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IASFA - Instituto de Ação Social das Forças Armadas;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IAVE - Instituto de Avaliação Educativa, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
ICAD - Instituto para os Comportamentos Aditivos e as Dependências, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IDD - Portugal Defence, S.A.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
IEFP - Instituto do Emprego e da Formação Profissional, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IFAP - Instituto de Financiamento da Agricultura e Pescas, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IGCP - Agência de Gestão da Tesouraria e da Dívida Pública, E.P.E.;SPE_PROVAVEL;S.13112;Administração Central;sim;INE S.13 2025;2025
IGEFE - Instituto de Gestão Financeira da Educação, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IGFEJ - Instituto Gestão Financeira e Equipamentos da Justiça, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
IHRU - Instituto da Habitação e da Reabilitação Urbana, I.P.;APU;S.13112;Administração Central;nao;INE S.13 2025;2025
