sigla;n_organizacoes;n_linhagens;denominacoes;resolucao
ANIPC;3;2;ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE PAPEL E CARTÃO | ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE PAPEL E CARTÃO | ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE PRODUTOS DE CIMENTO;
ANO;3;2;ASSOCIAÇÃO NACIONAL DE OSTEOPATAS | ASSOCIAÇÃO NACIONAL DE TERAPEUTAS MANIPULATIVOS | ASSOCIAÇÃO NACIONAL DE OSTEOPATAS;
APC;3;2;ASSOCIAÇÃO PORTUGUESA DE CERÂMICA | ASSOCIAÇÃO PORTUGUESA DE EMPRESAS DE INVESTIMENTO | ASSOCIAÇÃO PORTUGUESA DE SOCIEDADES CORRETORAS E FINANCEIRAS DE CORRETAGEM;
APCVD;3;2;ASSOCIAÇÃO PORTUGUESA DOS COMERCIANTES DE VENDA AO DOMICÍLIO (APCVD) | ASSOCIAÇÃO PORTUGUESA DOS COMERCIANTES DE VENDA DIRECTA | ASSOCIAÇÃO PORTUGUESA DOS COMERCIANTES DE VENDA DIRECTA (EXTINTA);
APEP;2;2;ASSOCIAÇÃO DE PUBLICIDADE EXTERIOR DE PORTUGAL | ASSOCIAÇÃO PORTUGUESA DE ESTÉTICA APLICADA E PROFISSÕES AFINS;
APH;2;2;ASSOCIAÇÃO PORTUGUESA DE HOMEOPATIA | ASSOCIAÇÃO PORTUGUESA DE HOTEIS;
APO;3;3;ASSOCIAÇÃO PORTUGUESA DE ODONTOLOGIA | ASSOCIAÇÃO PORTUGUESA DE ODONTOLOGISTAS | ASSOCIAÇÃO PORTUGUESA DE OSTEOPATAS;
APS;2;2;ASSOCIAÇÃO PORTUGUESA DE SEGURADORES | ASSOCIAÇÃO PORTUGUESA DE SUINICULTORES;
ARESP;2;2;ASSOCIAÇÃO DA RESTAURAÇÃO E SIMILARES DE PORTUGAL | ASSOCIAÇÃO DOS RESTAURANTES E SIMILARES DE PORTUGAL;
ARMADORESPESCA;2;2;ASSOCIAÇÃO DOS ARMADORES DA PESCA DO GUADIANA | ASSOCIAÇÃO DOS ARMADORES DE PESCA ARTESANAL E DE PESCA INDUSTRIAL COM EMBARCAÇÕES NÃO AGREMIADAS DE VILA DO CONDE E POVOA DO VARZIM;
ARMAZENISTAS;3;3;ASSOCIAÇÃO DOS ARMAZENISTAS, EXPORTADORES E REFINADORES DE AZEITE | ASSOCIAÇÃO PORTUGUESA DOS ARMAZENISTAS DE FERRAGENS, FERRAMENTAS E EQUIPAMENTOS INDÚSTRIAIS | ASSOCIAÇÃO PORTUGUESA DOS ARMAZENISTAS E IMPORTADORES DE AÇOS TUBOS E METAIS;
ARMAZENISTASTABACOS;3;2;ASSOCIAÇÃO DOS ARMAZENISTAS DE TABACOS DO NORTE | ASSOCIAÇÃO DOS ARMAZENISTAS DE TABACOS DO NORTE | ASSOCIAÇÃO PORTUGUESA DE ARMAZENISTAS DE TABACOS;
ARP;3;3;ASSOCIAÇÃO DOS RECAUCHUTADORES DE PORTUGAL | ASSOCIAÇÃO RODOVIÁRIA DE TRANSPORTADORES PESADOS DE PASSAGEIROS | ASSOCIAÇÃO REPRESENTATIVA DOS POLICIAS;
BARBEIROS;5;5;ASSOCIAÇÃO DOS BARBEIROS E CABELEIREIROS DO DISTRITO DE BRAGA | ASSOCIAÇÃO DOS BARBEIROS E CABELEIREIROS DO NORTE | FEDERAÇÃO DAS ASSOCIAÇÕES DE BARBEIROS CABELEIREIROS E INSTITUTOS DE BELEZA | SINDICATO DOS TRABALHADORES BARBEIROS, CABELEIREIROS E OFICIOS CORRELATIVOS DO CENTRO E SUL | SINDICATO DOS TRABALHADORES BARBEIROS, CABELEIREIROS E OFÍCIOS CORRELATIVOS DOS DISTRITOS DO PORTO, AVEIRO, BRAGANÇA, GUARDA E VIAL REAL;
CABELEIREIROS;3;3;ASSOCIAÇÃO DOS CABELEIREIROS DE PORTUGAL | ASSOCIAÇÃO DOS CABELEIREIROS DO DISTRITO DE LEIRIA | ASSOCIAÇÃO DOS CABELEIREIROS E BARBEARIAS DO SUL;
CARPINTEIROSNAVAIS;2;2;SINDICATO DOS CARPINTEIROS NAVAIS, CALAFATES E OFÍCIOS CORRELATIVOS, MECÂNICOS E DE MADEIRAS, VELEIROS , POLIDORES, ESTUFADORES E CONSTRUÇÃO NAVAL DE FIBRAS | SINDICATO DOS CARPINTEIROS NAVAIS, CALAFATES, PINTORES E OFÍCIOS CORRELATIVOS DO DISTRITO DO PORTO;
CASASPASTOVINHOS;3;2;ASSOCIAÇÃO DAS CASAS DE PASTO E DE VINHOS DO CENTRO/SUL DE PORTUGAL | ASSOCIAÇÃO DAS CASAS DE PASTO E DE VINHOS DO DISTRITO DE LISBOA | ASSOCIAÇÃO DAS CASAS DE PASTO E DE VINHOS DOS CONCELHOS DO PORTO, MATOSINHOS, MAIA, VALONGO, GONDOMAR E VILA NOVA DE GAIA;
CGTPIN;5;5;CONFEDERAÇÃO GERAL DOS TRABALHADORES PORTUGUESES - INTERSINDICAL NACIONAL | UNIÃO DOS SINDICATOS DE BRAGANÇA | UNIÃO DOS SINDICATOS DO DISTRITO DE BRAGA | UNIÃO DOS SINDICATOS DO DISTRITO DE SETÚBAL | UNIÃO DOS SINDICATOS DO DISTRITO DE VILA REAL;
