sigla;n_organizacoes;n_linhagens;denominacoes;resolucao
COMERCIANTESCARNES;8;6;ASSOCIAÇÃO DOS COMERCIANTES DE CARNES DO CONCELHO DE LISBOA E OUTROS | ASSOCIAÇÃO DOS COMERCIANTES DE CARNES DO DISTRITO DE BRAGA | ASSOCIAÇÃO DOS COMERCIANTES DE CARNES DO DISTRITO DE LEIRIA | ASSOCIAÇÃO DOS COMERCIANTES DE CARNES DO DISTRITO DE SANTARÉM | ASSOCIAÇÃO DOS COMERCIANTES DE CARNES DO NORTE DE PORTUGAL | ASSOCIAÇÃO DOS COMERCIANTES DE CARNES DO PORTO | ASSOCIAÇÃO DOS COMERCIANTES DE CARNES DO PORTO E OUTROS | FEDERAÇÃO NACIONAL DAS ASSOCIAÇÕES DOS COMERCIANTES DE CARNES;
COMERCIANTESCONCELHO;6;6;ASSOCIAÇÃO COMERCIANTES DO CONCELHO DO SEIXAL | ASSOCIAÇÃO DE COMERCIANTES DO CONCELHO DE LOURES | ASSOCIAÇÃO DE COMERCIANTES DO CONCELHO DE MAFRA | ASSOCIAÇÃO DOS COMERCIANTES DO CONCELHO DA MAIA | ASSOCIAÇÃO DOS COMERCIANTES DO CONCELHO DE CORUCHE | ASSOCIAÇÃO DOS COMERCIANTES DO CONCELHO DE LOULÉ;
COMERCIANTESDISTRITO;5;5;ASSOCIAÇÃO DE COMERCIANTES DO DISTRITO DE VISEU (TAMBÉM ASSOCIAÇÃO COMERCIAL DE VISEU) | ASSOCIAÇÃO DOS COMERCIANTES DO DISTRITO DE FARO | ASSOCIAÇÃO DOS COMERCIANTES DO DISTRITO DE SETÚBAL | UNIÃO DAS ASSOCIAÇÕES DE COMERCIANTES DO DISTRITO DE AVEIRO | UNIÃO DAS ASSOCIAÇÕES DE COMERCIANTES DO DISTRITO DE LISBOA;
COMERCIO;3;3;FEDERAÇÃO PORTUGUESA DOS SINDICATOS DOS TRABALHADORES DO COMÉRCIO | SINDICATO DOS TRABALHADORES DO COMÉRCIO | SINDICATO DOS TRABALHADORES DO COMÉRCIO;
COMERCIODISTRITO;2;2;SINDICATO DOS TRABALHADORES DO COMÉRCIO DO DISTRITO DE COIMBRA | SINDICATO DOS TRABALHADORES DO COMÉRCIO DO DISTRITO DE SETÚBAL;
COMERCIOESCRITORIO;4;3;SINDICATO DOS TRABALHADORES DO COMÉRCIO E ESCRITÓRIO DO DISTRITO DE CASTELO BRANCO | SINDICATO DOS TRABALHADORES DO COMÉRCIO E ESCRITÓRIO DO DISTRITO DE LEIRIA | SINDICATO DOS TRABALHADORES DO COMÉRCIO, ESCRITÓRIO E SERVIÇOS DO DISTRITO DE COIMBRA | SINDICATO DOS TRABALHADORES DO COMÉRCIO, ESCRITÓRIO E SERVIÇOS DO DISTRITO DE LEIRIA;
COMERCIOINDUSTRIA;3;3;ASSOCIAÇÃO DE COMÉRCIO, INDÚSTRIA E SERVIÇOS DE ELVAS | ASSOCIAÇÃO DO COMÉRCIO, INDÚSTRIA ESERVIÇOS DOS CONCELHOS DE VILA FRANCA DE XIRA E ARRUDA DOS VINHOS | ASSOCIAÇÃO DO COMÉRCIO, INDÚSTRIA, SERVIÇOS E TURISMO DO DISTRITO DE SETUBAL;
COMERCIOSERVICOS;10;9;ASSOCIAÇÃO DO COMÉRCIO E SERVIÇOS DO BARREIRO E MOITA | ASSOCIAÇÃO DO COMÉRCIO E SERVIÇOS DO DISTRITO DE SETÚBAL | ASSOCIAÇÃO DO COMERCIO,SERVIÇOS E TURISMO DO DISTRITO DE BEJA | UNIÃO DAS ASSOCIAÇÕES DE COMERCIO E SERVIÇOS | FEDERAÇÃO PORTUGUESA DOS SINDICATOS DO COMÉRCIO E SERVIÇOS | SINDICATO DOS PROFISSIONAIS DO COMÉRCIO E SERVIÇOS DO DISTRITO DE ÉVORA | SINDICATO DOS TRABALHADORES DO COMÉRCIO E SERVIÇOS DO DISTRITO DE BEJA | SINDICATO DOS TRABALHADORES DO COMÉRCIO E SERVIÇOS DO DISTRITO DE BRAGA | SINDICATO DOS TRABALHADORES DO COMÉRCIO E SERVIÇOS DO DISTRITO DE ÉVORA | SINDICATO DOS TRABALHADORES DO COMÉRCIO E SERVIÇOS DO DISTRITO DO PORTO;
CONSTRUCAOCIVIL;16;13;FEDERAÇAO NACIONAL DOS SINDICATOS DA CONSTRUÇÃO CIVIL | FEDERAÇÃO NACIONAL DOS SINDICATOS DOS TRABALHADORES DA CONSTRUÇÃO CIVIL E MADEIRAS | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL DO DISTRITO DE BRAGA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL DO DISTRITO DE CASTELO BRANCO | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL DO DISTRITO DE LISBOA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL E MADEIRAS DO DISTRITO DE BRAGA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL E OFÍCIOS CORRELATIVOS DO DISTRITO DE LEIRIA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL E OFÍCIOS CORRELATIVOS DO DISTRITO DE SETÚBAL | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL, MADEIRAS E MÁRMORES DO DISTRITO DE FARO | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL, MADEIRAS E MÁRMORES DO DISTRITO DE SETÚBAL | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL, MADEIRAS, CERÂMICA, CIMENTOS E SIMILARES DO DISTRITO DE CASTELO BRANCO | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL, MADEIRAS, MÁRMORES E AFINS DO DISTRITO DE COIMBRA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL, MADEIRAS, MÁRMORES E PEDREIRAS DO DISTRITO DE LEIRIA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL, MADEIRAS, MÁRMORES E PEDREIRAS DOS DISTRITOS DE VISEU E GUARDA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL, MADEIRAS, MÁRMORES, PEDREIRAS E CERÂMICA DOS DISTRITOS DE VISEU E GUARDA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO CIVIL, MÁRMORES E PEDREIRAS DO DISTRITO DE AVEIRO;
CONSTRUCAOMADEIRAS;7;5;FEDERAÇÃO NACIONAL DOS SINDICATOS DA CONSTRUÇÃO, MADEIRAS E MÁRMORES | FEDERAÇAO NACIONAL DOS SINDICATOS DA CONSTRUÇÃO, MADEIRAS, MÁRMORES E MATERIAIS DE CONSTRUÇÃO | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO, MADEIRAS E MÁRMORES DO DISTRITO DE SANTARÉM | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO, MADEIRAS, MÁRMORES E CORTIÇAS DO SUL | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO, MADEIRAS, MÁRMORES, PEDREIRAS, CERÂMICA E AFINS, DA REGIÃO A NORTE DO RIO DOURO | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO, MADEIRAS, MÁRMORES, PEDREIRAS, CERÂMICA E MATERIAIS DE CONSTRUÇÃO DE PORTUGAL | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO, MADEIRAS, MÁRMORES, PEDREIRAS, CERÂMICA E MATERIAIS DE CONSTRUÇÃO DO NORTE E VISEU;
CONSTRUCAOREPARACAO;2;2;SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO E REPARAÇÃO NAVAL DOS DISTRITO DE AVEIRO E COIMBRA | SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO E REPARAÇÃO NAVAL DOS DISTRITO DO PORTO, BRAGA E VIANA DO CASTELO;
DEMOCRATICO;3;2;SINDICATO DEMOCRATICO DAS INDÚSTRIAS DE PANIFICAÇÃO, ALIMENTARES E AFINS | SINDICATO DEMOCRÁTICO DAS INDÚSTRIAS DE PANIFICAÇÃO, ALIMENTARES E AFINS DO SUL E ILHAS | SINDICATO DEMOCRATICO DOS TRABALHADORES DAS INDÚSTRIAS QUÍMICAS E AFINS DE PORTUGAL;
DESCARREGADORESMAR;2;2;SINDICATO DOS DESCARREGADORES DE MAR E TERRA DO DISTRITO DE SETÚBAL | SINDICATO DOS DESCARREGADORES DE MAR E TERRA DO DISTRITO DE SETÚBAL;
DISTRITOLEIRIA;2;2;UNIÃO DOS SINDICATOS DO DISTRITO DE LEIRIA | UNIÃO DOS SINDICATOS DO DISTRITO DE LEIRIA;
EMPRESAS;4;4;ASSOCIAÇÃO DE EMPRESAS DE CABELEIREIROS | ASSOCIAÇÃO PORTUGUESA DAS EMPRESAS CINEMATOGRÁFICAS | ASSOCIAÇÃO PORTUGUESA DAS EMPRESAS CONCESSIONÁRIAS DAS ZONAS DE JOGO | ASSOCIAÇÃO PORTUGUESA DAS EMPRESAS DE PREFABRICAÇÃO;
ESCRITORIOCOMERCIO;6;6;SINDICATO DOS PROFISSIONAIS DE ESCRITÓRIO E COMÉRCIO DA GUARDA | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO E COMÉRCIO DO DISTRITO DE PORTALEGRE | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO E COMÉRCIO DO DISTRITO DE VIANA DO CASTELO | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO E COMÉRCIO DO DISTRITO DE VISEU | SINDICATO DOS TRABALHADORES DE ESCRITORIO E COMÉRCIO DOS DISTRITOS DE VILA REAL E BRAGANÇA | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO E DO COMÉRCIO DO DISTRITO DE AVEIRO;
ESCRITORIODISTRITO;5;5;SINDICATO DOS TRABALHADORES DE ESCRITÓRIO DO DISTRITO DE BRAGA | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO DO DISTRITO DE COIMBRA | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO DO DISTRITO DE LISBOA | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO DO DISTRITO DE SETÚBAL | SINDICATO DOS TRABALHADORES DE ESCRITÓRIO DO DISTRITO DO PORTO;
ESPECTACULOS;2;2;UNIÃO DAS ASSOCIAÇÕES DE ESPECTÁCULOS E DIVERSÕES | SINDICATO DOS TRABALHADORES DE ESPECTÁCULOS;
ESTABELECIMENTOS;2;2;ASSOCIAÇÃO NACIONAL DOS ESTABELECIMENTOS PRIVADOS DE SAÚDE | SINDICATO DOS TRABALHADORES DOS ESTABELECIMENTOS FABRIS DAS FORÇAS ARMADAS;
ESTIVADORES;4;4;SINDICATO DOS ESTIVADORES E BARQUEIROS DO DISTRITO DE SETÚBAL | SINDICATO DOS ESTIVADORES S CONFERENTES MARÍTIMOS E FLUVIAIS DO DISTRITO DO PORTO | SINDICATO DOS ESTIVADORES, LINGADORES E CONFERENTES DO PORTO DE VIANA DO CASTELO | SINDICATO NACIONAL DOS ESTIVADORES, CARREGADORES E DESCARREGADORES DE TERRA E MAR DO DISTRITO DE FARO;
ESTIVADORESPORTO;4;3;SINDICATO DOS ESTIVADORES DO PORTO DE LISBOA CENTRO E SUL DE PORTUGAL | SINDICATO DOS ESTIVADORES DO PORTO DE LISBOA E CENTRO DE PORTUGAL | SINDICATO DOS ESTIVADORES DO PORTO DE VIANA DO CASTELO | SINDICATO DOS ESTIVADORES E TRABALHADORES DO PORTO DE AVEIRO;
FENAME;2;2;FEDERAÇÃO NACIONAL DO METAL | FEDERAÇÃO NACIONAL DOS MÉDICOS;
FENSIQ;2;2;CONFEDERAÇÃO NACIONAL DE SINDICATOS DE QUADROS | FEDERAÇAO NACIONAL DE SINDICATOS DE QUADROS;
FENTCOP;2;2;FEDERAÇAO NACIONAL DOS TRANSPORTES, COMUNICAÇÕES E OBRAS PÚBLICAS | SINDICATO NACIONAL DOS TRANSPORTES, COMUNICAÇÕES E OBRAS PÚBLICAS;
FESAHT;3;2;FEDERAÇAO DOS SINDICATOS DA AGRICULTURA, ALIMENTAÇÃO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL | FEDERAÇÃO DOS SINDICATOS DA ALIMENTAÇÃO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL | FEDERAÇAO DOS SINDICATOS DE AGRICULTURA, ALIMENTAÇAO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL;
FNE;2;2;FEDERAÇÃO NACIONAL DA EDUCAÇÃO | FEDERAÇAO NACIONAL DOS SINDICATOS DA EDUCAÇÃO;
FUNCIONARIOS;2;2;SINDICATO DOS FUNCIONÁRIOS PARLAMENTARES | SINDICATO NACIONAL DOS FUNCIONÁRIOS DAS COMISSÕES DE CONCILIAÇÃO E JULGAMENTO;
HOTELARIATURISMO;2;2;SINDICATO DOS TRABALHADORES NA HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL | SINDICATO DOS TRABALHADORES NA HOTELARIA, TURISMO,RESTAURANTES E SIMILARES DO DISTRITO DE VISEU;
INDUSTRIABEBIDAS;2;2;SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE BEBIDAS DA REGIÃO NORTE E CENTRO | SINDICATO NACIONAL DOS TRABALHADORES DA INDÚSTRIA DE BEBIDAS;
INDUSTRIACERAMICA;3;3;FEDERAÇAO DOS SINDICATOS DAS INDÚSTRIA DE CERÂMICA, CIMENTO E VIDRO DE PORTUGAL | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE CERÂMICA, CIMENTOS, CONSTRUÇÃO E SIMILARES DO DISTRITO DE LEIRIA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIA DE CERÂMICA, CIMENTOS E SIMILARES DO DISTRITO DE SETÚBAL;
INDUSTRIACOMERCIO;6;4;SINDICATO DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO DE BEBIDAS DA REGIÃO NORTE E CENTRO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO DE CARNES DO SUL | SINDICATO DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO DE PANIFICAÇÃO DO DISTRITO DE BRAGA | SINDICATO NACIONAL DOS PROFISSIONAIS DA INDÚSTRIA E COMÉRCIO DO CALÇADO, MALAS E AFINS | SINDICATO NACIONAL DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO DE ALIMENTAÇÃO BEBIDAS E AFINS | SINDICATO NACIONAL DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO DE BEBIDAS;
INDUSTRIACONSERVAS;5;4;SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE CONSERVAS DE PEIXE, SECA DO BACALHAU E OFÍCIOS CORRELATIVOS DO DISTRITO DE FARO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE CONSERVAS DO NORTE DO PAÍS | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE CONSERVAS E OFÍCIOS CORRELATIVOS DO CENTRO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE CONSERVAS E OFÍCIOS CORRELATIVOS DO DISTRITO DE FARO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE CONSERVAS E OFÍCIOS CORRELATIVOS DO DISTRITO DE SETÚBAL;
INDUSTRIACORTICEIRA;3;3;SINDICATO DOS TRABALHADORES DA INDÚSTRIA CORTICEIRA DO DISTRITO DE LISBOA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA CORTICEIRA DO DISTRITO DE SETÚBAL | SINDICATO DOS TRABALHADORES DA INDÚSTRIA CORTICEIRA DO SUL;
INDUSTRIAFOSFOROS;3;2;SINDICATO DA INDÚSTRIA DE FÓSFOROS DE PORTUGAL | SINDICATO DA INDÚSTRIA DE FÓSFOROS DE PORTUGAL - DISTRITOS DO PORTO E AVEIRO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE FÓSFOROS DO DISTRITO DE LISBOA;
INDUSTRIAHOTELARIA;7;5;FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA DE HOTELARIA E TURISMO DE PORTUGAL | FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA DE HOTELARIA, RESTAURANTES E SIMILARES DO SUL | FEDERAÇÃO NACIONAL DOS SINDICATOS DA INDÚSTRIA DE HOTELARIA E TURISMO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO ALGARVE | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO CENTRO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE | SINDICATO DOS TRABALHADORES NA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL;
INDUSTRIAHOTELEIRA;9;8;UNIÃO DAS ASSOCIAÇÕES DA INDÚSTRIA HOTELEIRA E SIMILARES DO CENTRO SUL DE PORTUGAL | UNIÃO DAS ASSOCIAÇÕES DA INDÚSTRIA HOTELEIRA E SIMILARES DO NORTE | UNIÃO DAS ASSOCIAÇÕES DA INDÚSTRIA HOTELEIRA E SIMILARES DO NORTE DE PORTUGAL | FEDERAÇAO DOS SINDICATOS DOS TRABALHADORES DA INDÚSTRIA HOTELEIRA DO NORTE | SINDICATO DOS TRABALHADORES DA INDÚSTRIA HOTELEIRA E SIMILARES DO DISTRITO DE BRAGA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA HOTELEIRA E SIMILARES DOS DISTRITO DO PORTO, VILA REAL E BRAGANÇA | SINDICATO DOS TRABALHADORES NA INDÚSTRIA HOTELEIRA E SIMILARES DO DISTRITO DE AVEIRO | SINDICATO DOS TRABALHADORES NA INDÚSTRIA HOTELEIRA E SIMILARES DO DISTRITO DE FARO | SINDICATO DOS TRABALHADORES NA INDÚSTRIA HOTELEIRA E SIMILARES DOS DISTRITO DE COIMBRA, LEIRIA, GUARDA E CASTELO BRANCO;
INDUSTRIAIS;18;16;ASSOCIAÇÃO DOS INDÚSTRIAIS DE AUTOMOVEIS | ASSOCIAÇÃO DOS INDÚSTRIAIS DE CARTONAGENS E CORRELATIVOS DO NORTE | ASSOCIAÇÃO DOS INDÚSTRIAIS DE CHAPELARIA | ASSOCIAÇÃO DOS INDÚSTRIAIS DE HOSPEDAGEM DO CENTRO E SUL DE PORTUGAL | ASSOCIAÇÃO DOS INDÚSTRIAIS DE LACTICÍNIOS | ASSOCIAÇÃO DOS INDÚSTRIAIS DE MARGARINAS E ÓLEOS VEGETAIS | ASSOCIAÇÃO DOS INDÚSTRIAIS DE OURIVESARIA DO SUL | ASSOCIAÇÃO DOS INDÚSTRIAIS DE OURIVESARIA E RELOJOARIA DO NORTE | ASSOCIAÇÃO DOS INDÚSTRIAIS DE PANIFICAÇÃO DE LISBOA | ASSOCIAÇÃO DOS INDÚSTRIAIS HOTELEIROS E SIMILARES DO ALGARVE | ASSOCIAÇÃO DOS INDÚSTRIAIS METALÚRGICOS E METALOMECÂNICOS DO NORTE | ASSOCIAÇÃO DOS INDÚSTRIAIS TRANSFORMADORES DE VIDRO PLANO DE PORTUGAL | ASSOCIAÇÃO DOS INDÚSTRIAIS TRANSFORMADORES DE VIDRO PLANO DO NORTE DE PORTUGAL | ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE BICICLETAS, CICLOMOTORES, MOTOCICLOS E ACESSÓRIOS | ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE CUTELARIAS | ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE LACTICÍNIOS | ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS TRANSFORMADORES DE VIDRO | FEDERAÇAO DOS SINDICATOS DAS INDÚSTRIAIS DE PANIFICAÇÃO, PRODUTOS ALIMENTARES E AFINS;
INDUSTRIAISCONSERVAS;3;2;ASSOCIAÇÃO DOS INDÚSTRIAIS DE CONSERVAS DE PEIXE DO NORTE | ASSOCIAÇÃO DOS INDÚSTRIAIS DE CONSERVAS DE PEIXE DO SUL DE PORTUGAL | ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE CONSERVAS DE PEIXE;
INDUSTRIAISMOAGEM;3;2;ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE MOAGEM DE RAMAS E ESPOADAS DE MILHO E CENTEIO | ASSOCIAÇÃO NACIONAL DOS INDÚSTRIAIS DE MOAGEM DE TRIGO, MILHO E CENTEIO | FEDERAÇÃO PORTUGUESA DOS INDÚSTRIAIS DE MOAGEM;
INDUSTRIAISTANOARIA;2;2;ASSOCIAÇÃO DOS INDÚSTRIAIS DE TANOARIA DO NORTE | ASSOCIAÇÃO DOS INDÚSTRIAIS DE TANOARIA DO SUL;
INDUSTRIAMADEIRAS;2;2;SINDICATO DOS TRABALHADORES DAS INDÚSTRIA DE MADEIRAS DO DISTRITO DE SANTARÉM | SINDICATO DOS TRABALHADORES DAS INDÚSTRIA DE MADEIRAS DOS DISTRITOS DO PORTO E AVEIRO;
INDUSTRIAMETALURGICA;5;3;SINDICATO DOS TRABALHADORES DA INDÚSTRIA METALÚRGICA DO DISTRITO DE COIMBRA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA METALÚRGICA E METALOMECÂNICA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA METALÚRGICA E METALOMECÂNICA DO DISTRITO DE LISBOA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA METALÚRGICA E METALOMECÂNICA DOS DISTRITOS DE LISBOA, LEIRIA, SANTARÉM E CASTELO BRANCO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA METALÚRGICA E METALOMECÂNICA DOS DISTRITOS DE LISBOA, SANTARÉM E CASTELO BRANCO;
INDUSTRIAMINEIRA;2;2;SINDICATO DOS TRABALHADORES DA INDÚSTRIA MINEIRA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA MINEIRA DO NORTE;
INDUSTRIAPANIFICACAO;6;6;SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE PANIFICAÇÃO DO DISTRITO DA GUARDA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE PANIFICAÇÃO DO DISTRITO DE CASTELO BRANCO | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE PANIFICAÇÃO DO DISTRITO DE SETÚBAL | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE PANIFICAÇÃO DOS DISTRITO DE VILA REAL E BRAGANÇA | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE PANIFICAÇÃO E OUTROS RAMOS ALIMENTARES | SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE PANIFICAÇÃO E PRODUTOS ALIMENTARES AFINS DO DISTRITO DE SANTARÉM;
INDUSTRIAS;23;19;FEDERAÇÃO DOS SINDICATOS DAS INDÚSTRIAS DE ALIMENTAÇÃO, BEBIDAS E TABACOS | FEDERAÇÃO DOS SINDICATOS DAS INDÚSTRIAS DE ALIMENTAÇÃO, BEBIDAS E TABACOS / CGTP | SINDICATO DAS INDÚSTRIAS DE OURIVESARIA, RELOJOARIA E CORRELATIVOS DO SUL | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS ALIMENTARES DE CONSERVAS DO NORTE | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS ALIMENTARES DE HIDRATOS DE CARBONO DO NORTE | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS ALIMENTARES DE HIDRATOS DE CARBONO DO SUL | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS ALIMENTARES DE HIDRATOS DE CARBONO DO SUL E ILHAS | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE ALIMENTAÇÃO DO DISTRITO DE VISEU | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE ALIMENTAÇÃO DO SUL E TABACOS | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE PANIFICAÇÃO E PRODUTOS ALIMENTARES AFINS DO ALENTEJO E ALGARVE | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE PANIFICAÇÃO E PRODUTOS ALIMENTARES AFINS DO DISTRITO DE LEIRIA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE PANIFICAÇÃO E PRODUTOS ALIMENTARES AFINS DO DISTRITOS DE LISBOA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICA E METALOMECÂNICA DO DISTRITO DE VIANA DO CASTELO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICA E METALOMECÂNICA DO NORTE | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECÂNICAS DO DISTRITO DE AVEIRO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECÂNICAS DO DISTRITO DE BRAGA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECÂNICAS DO DISTRITO DE COIMBRA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECÂNICAS DO DISTRITO DE LEIRIA | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECÂNICAS DO DISTTRITO DE VISEU | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECANICAS DO DISTTRITOS DE SANTAREM | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECÂNICAS DO SUL | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECÂNICAS DOS DISTRITOS DE AVEIRO E VISEU | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS E METALOMECÂNICAS DOS DISTRITOS DE COIMBRA E LEIRIA;
INDUSTRIASCALCADO;4;2;SINDICATO DA INDÚSTRIAS DE CALÇADO, MANUAL OU MECÂNICO, CORREEIROS, ALBARDEIROS, TAMANQUEIROS, PAUSEIROS E AFINS DOS DISTRITOS DE VISEU, VILA REAL, GUARDA E CASTELO BRANCO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CALÇADO, ARTIGOS DE PELE, MALAS, CORREARIA E SIMILARES DO CENTRO E SUL DE PORTUGAL | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CALÇADO, ARTIGOS DE PELE, MALAS, CORREARIA E SIMILARES DO CENTRO, SUL E ILHAS | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CALÇADO, MALAS, LUVAS , COMPONENTES E SIMILARES DO CENTRO, SUL E ILHAS;
INDUSTRIASCELULOSE;6;5;FEDERAÇÃO DE SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, PAPEL, CARTONAGEM E AFINS | FEDERAÇAO DOS SINDICATOS DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, PAPEL, GRÁFICA E CARTONAGEM | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, FABRICAÇÃO E TRANSFORMAÇÃO DE PAPEL, GRÁFICA E IMPRENSA DO CENTRO | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, FABRICAÇÃO E TRANSFORMAÇÃO DE PAPEL, GRÁFICA E IMPRENSA DO SUL E ILHAS | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, FABRICAÇÃO E TRANSFORMAÇÃO DO PAPEL, GRÁFICA E IMPRENSA DO NORTE | SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, PAPEL, GRÁFICA E IMPRENSA;
