codigo_dgert;denominacao;sigla;sigla_base;origem_sigla;tipo;lado;concelho;distrito;estado_registo;primeira_atividade;ultima_atividade
5.492.0;(APERF) ASSOCIAÇÃO PORTUGUESA DE EMPRESAS DE CONSULTORIA EM RECURSOS HUMANOS E FORMAÇÃO;APERF;APERF;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Extinta;1995-03-15;2013-04-08
5.554.0;A.A.N.P. - ASSOCIAÇÃO DOS AGENTES DE NAVEGAÇÃO DE PORTUGAL;AANP;AANP;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2004-11-15;2015-11-15
5.246.4;A.C.I.M. - ASSOCIAÇÃO DOS COMERCIANTES, INDÚSTRIAIS E PRESTADORES DE SERVIÇOS DO CONCELHO DE MONCORVO;ACIM;ACIM;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;TORRE DE MONCORVO;BRAGANÇA;Activa;2021-06-08;2024-05-22
5.563.1;A.E.R - ASSOCIAÇÃO EMPRESARIAL DE RESENDE;AER;AER;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;RESENDE;VISEU;Activa;2024-06-08;2025-07-08
5.606.0;ADI-PME - ASSOCIAÇÃO PARA O DESENVOLVIMENTO E INOVAÇÃO NAS PEQUENAS E MÉDIAS EMPRESAS;ADIPME;ADIPME;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PORTO;PORTO;Activa;2014-02-17;2015-02-08
5.119.2;ÁGUAS MINERAIS E DE NASCENTE DE PORTUGAL;APIAM;APIAM;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2019-05-22;2019-05-22
5.3.2;AI NAVAIS - ASSOCIAÇÃO DAS INDÚSTRIA NAVAIS;AINAVAIS;AINAVAIS;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2009-04-24;2025-11-08
5.179.0;APECOPSAASSOCIAÇÃO DE PEQUENOS EMPREITEIROS DA CONSTRUÇAO CIVIL E OBRAS PÚBLICAS DE SETÚBAL E ALENTEJO;APECOPSA;APECOPSA;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;SEIXAL;SETÚBAL;Extinta;1999-03-08;2026-03-22
5.225.0;ASSOCIAÇÃO  COMERCIAL E INDUSTRIAL DO CONCELHO DO FUNDÃO;COMERCIALINDUSFundao;COMERCIALINDUSTRIAL;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;FUNDÃO;CASTELO BRANCO;Activa;1977-07-08;2007-04-08
5.141.1;ASSOCIAÇÃO AUTOMÓVEL DE PORTUGAL;ACAP;ACAP;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2007-08-15;2025-04-22
5.453.2;ASSOCIAÇÃO CERVEJEIROS DE PORTUGAL;APCV;APCV;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2017-11-29;2025-10-22
5.317.0;ASSOCIAÇÃO COMER. DO CONCELHO DE RIO MAIOR;COMERCONCELHORIO;COMERCONCELHORIO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;RIO MAIOR;SANTARÉM;Activa;1978-11-22;1978-11-22
5.32.0;ASSOCIAÇÃO COMERCIAL DA GUARDA;COMERCIALGUARDA;COMERCIALGUARDA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;GUARDA;GUARDA;Activa;1975-10-15;1980-04-08
5.442.0;ASSOCIAÇÃO COMERCIAL DE ÁGUEDA;COMERCIALAGUEDA;COMERCIALAGUEDA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ÁGUEDA;AVEIRO;Activa;1990-08-30;2018-05-15
5.194.0;ASSOCIAÇÃO COMERCIAL DE AMARANTE;COMERCIALAMARANTE;COMERCIALAMARANTE;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;AMARANTE;PORTO;Activa;1975-10-01;1975-10-01
5.166.0;ASSOCIAÇÃO COMERCIAL DE ARCOS DE VALDEVEZ;COMERCIALARCOS;COMERCIALARCOS;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ARCOS DE VALDEVEZ;VIANA DO CASTELO;Activa;1977-09-22;1977-09-22
5.165.0;ASSOCIAÇÃO COMERCIAL DE AVEIRO;COMERCIALAVEIRO;COMERCIALAVEIRO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;AVEIRO;AVEIRO;Activa;1976-02-04;2009-06-22
5.174.0;ASSOCIAÇÃO COMERCIAL DE BARCELOS;COMERCIALBARCELOS;COMERCIALBARCELOS;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;BARCELOS;BRAGA;Activa;1977-08-22;1977-10-08
5.217.0;ASSOCIAÇÃO COMERCIAL DE BRAGA;COMERCIALBRAGA;COMERCIALBRAGA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;BRAGA;BRAGA;Activa;1977-06-22;1977-06-22
5.217.1;ASSOCIAÇÃO COMERCIAL DE BRAGA;ACB;ACB;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;BRAGA;BRAGA;Activa;1983-06-30;1993-06-30
5.217.2;ASSOCIAÇÃO COMERCIAL DE BRAGA - COMÉRCIO, TURISMO E SERVIÇOS;ACB;ACB;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;BRAGA;BRAGA;Activa;1995-07-30;2010-08-08
5.259.0;ASSOCIAÇÃO COMERCIAL DE CASTANHEIRA DE PÊRA;COMERCIALCASTANHEIRA;COMERCIALCASTANHEIRA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;CASTANHEIRA DE PÊRA;LEIRIA;Extinta;1977-04-05;2012-07-08
5.243.0;ASSOCIAÇÃO COMERCIAL DE CHAVES;COMERCIALCHAVES;COMERCIALCHAVES;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;CHAVES;VILA REAL;Activa;1977-08-08;1980-12-30
5.77.0;ASSOCIAÇÃO COMERCIAL DE ELVAS;COMERCIALELVAS;COMERCIALELVAS;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ELVAS;PORTALEGRE;Extinta;1977-07-08;1978-01-29
5.168.0;ASSOCIAÇÃO COMERCIAL DE ESPINHO;COMERCIALESPINHO;COMERCIALESPINHO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ESPINHO;AVEIRO;Activa;1975-10-01;2020-04-15
5.168.1;ASSOCIAÇÃO COMERCIAL DE ESPINHO E OUTROS CONCELHOS DA REGIÃO NORTE E CENTRO;ACE;ACE;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ESPINHO;AVEIRO;Activa;2021-01-22;2025-11-08
5.160.0;ASSOCIAÇÃO COMERCIAL DE FAFE, CABECEIRAS DE BASTO E CELORICO DE BASTO;COMERCIALFAFE;COMERCIALFAFE;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;CELORICO DE BASTO;BRAGA;Activa;1977-05-26;1981-06-30
5.209.0;ASSOCIAÇÃO COMERCIAL DE FELGUEIRAS;COMERCIALFELGUEIRAS;COMERCIALFELGUEIRAS;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;FELGUEIRAS;PORTO;Activa;1976-09-28;1981-11-14
5.120.0;ASSOCIAÇÃO COMERCIAL DE GOUVEIA, SEIA E FORNOS DE ALGODRES;COMERCIALGOUVEIASEIA;COMERCIALGOUVEIASEIA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;GOUVEIA;GUARDA;Activa;1976-01-06;2011-02-08
5.159.0;ASSOCIAÇÃO COMERCIAL DE GUIMARÃES;COMERCIALGUIMARAES;COMERCIALGUIMARAES;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;GUIMARÃES;BRAGA;Activa;1977-09-29;1978-02-15
5.359.0;ASSOCIAÇÃO COMERCIAL DE LAGOS;ACL;ACL;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;FARO;Extinta;1983-05-15;2012-02-29
5.181.0;ASSOCIAÇÃO COMERCIAL DE LAMEGO;COMERCIALLAMEGO;COMERCIALLAMEGO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LAMEGO;VISEU;Extinta;1977-08-15;1977-09-22
5.155.0;ASSOCIAÇÃO COMERCIAL DE LEIRIA;COMERCIALLEIRIA;COMERCIALLEIRIA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;LEIRIA;Activa;1977-09-15;1985-12-30
5.196.0;ASSOCIAÇÃO COMERCIAL DE LOUSADA;COMERCIALLOUSADA;COMERCIALLOUSADA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LOUSADA;PORTO;Extinta;1977-02-24;2013-04-29
5.460.0;ASSOCIAÇÃO COMERCIAL DE LOUSADA;COMERCIALLOUSLousada;COMERCIALLOUSADA;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LOUSADA;PORTO;Extinta;1992-12-30;1992-12-30
5.212.0;ASSOCIAÇÃO COMERCIAL DE MARCO DE CANAVESES;COMERCIALMARCO;COMERCIALMARCO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;MARCO DE CANAVESES;PORTO;Activa;1976-01-30;1976-01-30
5.226.1;ASSOCIAÇÃO COMERCIAL DE MARINHA GRANDE;ACMG;ACMG;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;MARINHA GRANDE;LEIRIA;Activa;1993-10-15;1993-10-15
5.149.1;ASSOCIAÇÃO COMERCIAL DE MODA;COMERCIALMODA;COMERCIALMODA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;LISBOA;LISBOA;Activa;2002-03-29;2023-12-08
5.87.0;ASSOCIAÇÃO COMERCIAL DE PAÇOS DE FERREIRA;COMERCIALPACOS;COMERCIALPACOS;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PAÇOS DE FERREIRA;PORTO;Extinta;1977-03-19;2014-04-08
5.170.0;ASSOCIAÇÃO COMERCIAL DE PEDROGÃO GRANDE;COMERCIALPEDROGAO;COMERCIALPEDROGAO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PEDRÓGÃO GRANDE;LEIRIA;Extinta;1977-08-22;2014-01-22
5.187.0;ASSOCIAÇÃO COMERCIAL DE PENAFIEL;COMERCIALPENAFIEL;COMERCIALPENAFIEL;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PENAFIEL;PORTO;Activa;1976-07-23;1976-07-23
5.222.0;ASSOCIAÇÃO COMERCIAL DE POMBAL;COMERCIALPOMBAL;COMERCIALPOMBAL;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;POMBAL;LEIRIA;Activa;1977-09-15;2024-10-29
5.169.0;ASSOCIAÇÃO COMERCIAL DE PONTE DE LIMA;COMERCIALPONTELIMA;COMERCIALPONTELIMA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PONTE DE LIMA;VIANA DO CASTELO;Activa;1977-06-15;1977-06-15
5.227.0;ASSOCIAÇÃO COMERCIAL DE PORTALEGRE;COMERCIALPORTALEGRE;COMERCIALPORTALEGRE;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;PORTALEGRE;Extinta;1977-09-15;1977-11-15
5.227.1;ASSOCIAÇÃO COMERCIAL DE PORTALEGRE;ACP;ACP;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PORTALEGRE;PORTALEGRE;Extinta;2002-01-29;2007-08-08
5.271.0;ASSOCIAÇÃO COMERCIAL DE PORTIMÃO;COMERCIALPORTIMAO;COMERCIALPORTIMAO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PORTIMÃO;FARO;Extinta;1977-09-22;2026-04-21
5.182.0;ASSOCIAÇÃO COMERCIAL DE PÓVOA DE VARZIM;COMERCIALPOVOAVARZIM;COMERCIALPOVOAVARZIM;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PÓVOA DE VARZIM;PORTO;Activa;1975-12-30;1997-06-30
5.481.0;ASSOCIAÇÃO COMERCIAL DE SANTA MARIA DA FEIRA;COMERCIALSANTAMARIA;COMERCIALSANTAMARIA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;SANTA MARIA DA FEIRA;AVEIRO;Activa;1994-09-15;1998-01-30
5.240.1;ASSOCIAÇÃO COMERCIAL DE SANTARÉM;COMERCIALSANTAREM;COMERCIALSANTAREM;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;SANTARÉM;SANTARÉM;Activa;1977-08-15;1998-03-30
5.305.2;ASSOCIAÇÃO COMERCIAL DE SERVIÇOS E INDUSTRIAL DE ALCOBAÇA;COMERCIALSERAlcobaca;COMERCIALSERVICOS;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;LEIRIA;Activa;1989-07-30;2011-06-15
5.305.3;ASSOCIAÇÃO COMERCIAL DE SERVIÇOS E INDUSTRIAL DE ALCOBAÇA E DA REGIÃO DE LEIRIA;COMERCIALSERAlcobaca;COMERCIALSERVICOS;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;LEIRIA;Activa;2011-04-04;2026-07-08
5.341.0;ASSOCIAÇÃO COMERCIAL DE VALENÇA;COMERCIALVALENCA;COMERCIALVALENCA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;VALENÇA;VIANA DO CASTELO;Activa;1981-10-30;1981-10-30
5.162.0;ASSOCIAÇÃO COMERCIAL DE VIANA DO CASTELO;COMERCIALVIANA;COMERCIALVIANA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;VIANA DO CASTELO;VIANA DO CASTELO;Activa;1977-09-22;2001-07-29
5.186.0;ASSOCIAÇÃO COMERCIAL DE VILA DO CONDE;COMERCIALVILACONDE;COMERCIALVILACONDE;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;VILA DO CONDE;PORTO;Activa;1976-07-31;1976-07-31
5.163.0;ASSOCIAÇÃO COMERCIAL DE VILA NOVA DE FAMALICÃO;COMERCIALVILANOVVila;COMERCIALVILANOVA;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;VILA NOVA DE FAMALICÃO;BRAGA;Activa;1977-06-08;1984-09-30
5.46.0;ASSOCIAÇÃO COMERCIAL DE VILA NOVA DE GAIA;COMERCIALVILANOVA;COMERCIALVILANOVA;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;VILA NOVA DE GAIA;PORTO;Activa;1975-08-27;1981-03-21
5.70.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE CASCAIS;COMERCIALCONCELHO;COMERCIALCONCELHO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;CASCAIS;LISBOA;Activa;1975-09-10;1982-04-15
5.250.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE GONDOMAR;COMERCIALCONGondomar;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;GONDOMAR;PORTO;Activa;1977-09-15;1997-02-15
5.193.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE MATOSINHOS;COMERCIALCMatosinhos;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;MATOSINHOS;PORTO;Activa;1975-10-01;1975-10-01
5.122.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE OEIRAS;COMERCIALCONCEOeiras;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;OEIRAS;LISBOA;Activa;1976-04-13;1976-06-05
5.200.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE OLIVEIRA DE AZEMEIS;COMERCIALCONOliveira;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;AVEIRO;Activa;1975-09-24;1975-09-24
5.185.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE PAREDES;COMERCIALCONCParedes;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;PAREDES;PORTO;Extinta;1975-10-14;2011-02-15
5.98.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE SANTO TIRSO;COMERCIALCONCELSanto;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;PORTO;Activa;1975-10-16;2002-04-29
5.497.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE SEIA;COMERCIALCONCELHSeia;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;SEIA;GUARDA;Activa;1995-07-30;1995-07-30
5.189.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DE VALONGO;COMERCIALCONCValongo;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;VALONGO;PORTO;Extinta;1975-12-10;1975-12-10
5.213.0;ASSOCIAÇÃO COMERCIAL DO CONCELHO DO BOMBARRAL;COMERCIALCOBombarral;COMERCIALCONCELHO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;BOMBARRAL;LEIRIA;Activa;1977-08-08;2023-05-22
5.165.1;ASSOCIAÇÃO COMERCIAL DO DISTRITO DE AVEIRO;COMERCIALDISTRAveiro;COMERCIALDISTRITO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;AVEIRO;AVEIRO;Activa;2007-04-15;2007-04-15
5.165.2;ASSOCIAÇÃO COMERCIAL DO DISTRITO DE AVEIRO;COMERCIALDISTRAveiro;COMERCIALDISTRITO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;AVEIRO;AVEIRO;Activa;;
5.165.3;ASSOCIAÇÃO COMERCIAL DO DISTRITO DE AVEIRO;ACA;ACA;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;AVEIRO;AVEIRO;Activa;2013-08-08;2019-03-08
5.16.0;ASSOCIAÇÃO COMERCIAL DO DISTRITO DE BEJA;COMERCIALDISTRITO;COMERCIALDISTRITO;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;BEJA;Activa;1975-08-08;2019-05-15
5.47.0;ASSOCIAÇÃO COMERCIAL DO DISTRITO DE ÉVORA;COMERCIALDISDistrito;COMERCIALDISTRITO;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ÉVORA;ÉVORA;Activa;1975-10-15;2008-04-22
5.47.1;ASSOCIAÇÃO COMERCIAL DO DISTRITO DE ÉVORA - COMÉRCIO, TURISMO E SERVIÇOS;ACDE;ACDE;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ÉVORA;ÉVORA;Activa;2008-04-29;2018-06-08
5.192.2;ASSOCIAÇÃO COMERCIAL DO DISTRITO DE VISEU;ACDV;ACDV;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;VISEU;VISEU;Activa;2002-09-15;2019-02-08
5.131.0;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DAS CALDAS DA RAINHA E ÓBIDOS;COMERCIALCONCECaldas;COMERCIALCONCELHOS;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;CALDAS DA RAINHA;LEIRIA;Activa;1977-08-22;1998-09-30
5.131.1;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DAS CALDAS DA RAINHA E ÓBIDOS;ACCCRO;ACCCRO;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;CALDAS DA RAINHA;LEIRIA;Activa;1998-04-15;2011-06-15
5.236.0;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE ABRANTES, CONSTÂNCIA E SARDOAL;COMERCIALCONAbrantes;COMERCIALCONCELHOS;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ABRANTES;SANTARÉM;Activa;1977-03-12;1977-06-22
5.173.0;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE MONÇÃO E MELGAÇO;COMERCIALCONCEMoncao;COMERCIALCONCELHOS;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;MONÇÃO;VIANA DO CASTELO;Activa;1977-07-08;1977-07-08
5.122.1;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE OEIRAS E AMADORA;COMERCIALCONCELHOS;COMERCIALCONCELHOS;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;OEIRAS;LISBOA;Activa;1981-02-07;1988-07-15
5.200.1;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE OLIVEIRA DE AZEMÉIS E VALE DE CAMBRA;ACCOAVC;ACCOAVC;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;OLIVEIRA DE AZEMÉIS;AVEIRO;Activa;1997-06-15;2025-07-15
5.164.0;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DE OVAR E S.JOÃO DA MADEIRA;COMERCIALCONCELHOvar;COMERCIALCONCELHOS;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;OVAR;AVEIRO;Extinta;1976-02-07;2021-01-29
5.101.0;ASSOCIAÇÃO COMERCIAL DOS CONCELHOS DO OESTE;ACCO;ACCO;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;LISBOA;Activa;1975-09-03;1975-09-03
5.235.4;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DA BEIRA BAIXA;ACICB;ACICB;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;CASTELO BRANCO;CASTELO BRANCO;Activa;2021-05-19;2025-06-15
5.236.2;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE ABRANTES, CONSTANCIA, S.A.RDOAL, MAÇÃO E VILA DE REI;COMERCIALEMPAbrantes;COMERCIALEMPRESARIAL;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ABRANTES;SANTARÉM;Activa;2011-11-15;2024-02-22
5.236.3;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE ABRANTES, CONSTANCIA, S.A.RDOAL, MAÇÃO E VILA DE REI;ACEAbrantes;ACE;registo+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ABRANTES;SANTARÉM;Activa;2024-10-15;2024-10-15
5.240.2;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE SANTARÉM;COMERCIALEMPSantarem;COMERCIALEMPRESARIAL;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;SANTARÉM;SANTARÉM;Activa;2001-12-15;2013-04-22
5.165.4;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DO DISTRITO DE AVEIRO;ACA;ACA;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;AVEIRO;AVEIRO;Activa;2022-10-15;2023-01-22
5.122.2;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DOS CONCELHOS DE OEIRAS E AMADORA;COMERCIALEMPRESARIAL;COMERCIALEMPRESARIAL;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;OEIRAS;LISBOA;Activa;2001-05-22;2009-04-08
5.122.3;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DOS CONCELHOS DE OEIRAS E AMADORA;AECOA;AECOA;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;OEIRAS;LISBOA;Activa;2011-04-08;2021-01-15
5.240.3;ASSOCIAÇÃO COMERCIAL E EMPRESARIAL E SERVIÇOS DOS CONCELHOS DE SANTARÉM, ALMEIRIM, ALPIARÇA, BENAVENTE, CARTAXO E CHAMUSCA;ACES;ACES;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;SANTARÉM;SANTARÉM;Activa;2013-12-29;2025-08-15
5.235.1;ASSOCIAÇÃO COMERCIAL E INDUST. DOS CONCELHOS DE CASTELO BRANCO, VILA VELHA DE RODÃO E IDANHA-A NOVA;ANOVA;ANOVA;derivada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;CASTELO BRANCO;CASTELO BRANCO;Activa;1979-05-08;1979-05-08
5.305.1;ASSOCIAÇÃO COMERCIAL E INDUST.DE ALCOBAÇA;COMERCIALINDUST;COMERCIALINDUST;recurso;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ALCOBAÇA;LEIRIA;Activa;1989-03-30;1989-03-30
5.243.1;ASSOCIAÇÃO COMERCIAL E INDÚSTRIA ESERVIÇOS DE CHAVES;ACISC;ACISC;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;VILA REAL;Activa;1990-05-15;1990-12-15
5.561.0;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DA BAIRRADA;ACIB;ACIB;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;OLIVEIRA DO BAIRRO;;Activa;2005-01-22;2025-08-15
5.188.0;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DA FIGUEIRA DA FOZ;ACIFF;ACIFF;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;FIGUEIRA DA FOZ;COIMBRA;Activa;1977-08-22;2020-02-08
5.188.1;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DA FIGUEIRA DA FOZ - ASSOCIAÇÃO EMPRESARIAL REGIONAL;ACIFF;ACIFF;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;FIGUEIRA DA FOZ;COIMBRA;Activa;2019-11-29;2024-12-08
5.226.2;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DA MARINHA GRANDE;ACIMG;ACIMG;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;MARINHA GRANDE;LEIRIA;Activa;1996-07-30;2024-03-08
5.479.0;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ALIJÓ;COMERCIALINDUSTAlijo;COMERCIALINDUSTRIAL;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ALIJÓ;VILA REAL;Extinta;1994-09-19;2011-11-22
5.166.1;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ARCOS DE VALDEVEZ;COMERCIALINDUSTArcos;COMERCIALINDUSTRIAL;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ARCOS DE VALDEVEZ;VIANA DO CASTELO;Activa;1997-01-15;1997-01-15
5.166.2;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ARCOS DE VALDEVEZ E PONTE DA BARCA;ACIAB;ACIAB;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;ARCOS DE VALDEVEZ;VIANA DO CASTELO;Activa;1997-01-15;2026-01-22
5.357.0;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE BAIÃO;COMERCIALINDUSTBaiao;COMERCIALINDUSTRIAL;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;BAIÃO;PORTO;Activa;1982-12-15;1982-12-15
5.174.1;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE BARCELOS;COMERCIALINDBarcelos;COMERCIALINDUSTRIAL;recurso+desambiguada;ASSOCIAÇÃO DE EMPREGADORES;empregadores;BARCELOS;BRAGA;Activa;1990-05-15;2012-08-22
5.537.0;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CASTELO DE PAIVA;ACICP;ACICP;registo;ASSOCIAÇÃO DE EMPREGADORES;empregadores;;AVEIRO;Activa;2001-01-08;2023-02-28
